Date,MKT,VIX,RATE,USD,COM
2015-01-05,-0.018059356538306814,2.1299991607666016,-0.0839998722076416,0.0032937573159006472,0.0
2015-01-06,-0.009419285831372859,1.2000007629394531,-0.07599997520446777,0.0013132277324241493,-0.014721381698559077
2015-01-07,0.012461342003904363,-1.8100013732910156,-0.009000062942504883,0.004262288411458259,0.0
2015-01-08,0.01774471644621367,-2.299999237060547,0.06200003623962402,0.005223673524016537,-0.0032016791182064575
2015-01-09,-0.008013383691143017,0.5399990081787109,-0.04500007629394531,-0.004655194244775451,-0.0037473069422181426
2015-01-12,-0.007833470579377333,2.0500011444091797,-0.05900001525878906,0.00043507629394334835,0.0
2015-01-13,-0.0028129002899863753,0.9599990844726562,-0.02199995517730713,0.0035876732943747047,0.0
2015-01-14,-0.006036941621750724,0.9200000762939453,-0.05299997329711914,-0.0016248932992243281,-0.09081141744388632
2015-01-15,-0.00916062632101422,0.9099998474121094,-0.06200003623962402,0.002061575569249241,0.033687925074115554
2015-01-16,0.013114103757420503,-1.4399986267089844,0.040000081062316895,0.001840803159222082,0.019439688795727994
2015-01-20,0.002132670267536607,-1.0600013732910156,-0.008000016212463379,0.005728560613076139,-0.014582177789925321
2015-01-21,0.005048255966022985,-1.039999008178711,0.046000003814697266,-0.0016120528851081284,-0.002845716444450197
2015-01-22,0.014870852212753638,-2.450000762939453,0.042999982833862305,0.01442407229150966,-0.00684936279098225
2015-01-23,-0.005482689061349633,0.26000022888183594,-0.07899999618530273,0.008064538979819513,-0.02816090700348839
2015-01-26,0.0023415242068955955,-1.1399993896484375,0.010999917984008789,-0.0021052310341282965,0.008870468355044236
2015-01-27,-0.013190825720244437,1.6999988555908203,-0.00299990177154541,-0.008227915438626554,-0.019343489685615056
2015-01-28,-0.01282391681488182,3.220001220703125,-0.10100007057189941,0.004786264557582243,0.001195484656958845
2015-01-29,0.009243423915737292,-1.6800003051757812,0.027000069618225098,0.003281439129756425,-0.004179086258162323
2015-01-30,-0.012574577415603194,2.2099990844726562,-0.07600009441375732,0.00021106006244542286,0.0
2015-02-02,0.012383963726042113,-1.539999008178711,-0.001999974250793457,-0.0031645890516904807,0.029676251588885316
2015-02-03,0.014460797229370215,-2.1000003814697266,0.10699999332427979,-0.009523825670676223,0.009606984571798538
2015-02-04,-0.003807652495932401,1.0,0.01700007915496826,0.004166660213742013,0.0
2015-02-05,0.010095233784456648,-1.4799995422363281,0.018000006675720215,0.007553985536862484,0.013264102665074162
2015-02-06,-0.0027654555464470265,0.4400005340576172,0.12299990653991699,0.0,-0.008537257890474548
2015-02-09,-0.004475715276854086,1.2599983215332031,0.009999990463256836,-0.002639915607775989,0.005740550001823053
2015-02-10,0.010653533089749478,-1.3199996948242188,0.043000102043151855,0.003282214907409209,-0.013127827410210346
2015-02-11,0.0005802398151879551,-0.2700004577636719,-0.003000020980834961,0.002427139324125527,0.004048565131153703
2015-02-12,0.009616521960134072,-1.6199989318847656,-0.002000093460083008,-0.009474697822076439,0.019585261557257816
2015-02-13,0.00411632959284991,-0.6500005722045898,0.034999966621398926,0.0011690999535862723,0.0
2015-02-17,0.001573069168548713,1.1100006103515625,0.12400007247924805,-0.001486193144203174,-0.022598955290241363
2015-02-18,9.495333571063469e-05,-0.35000038146972656,-0.07899999618530273,0.001488405201809817,0.018497203253473815
2015-02-19,-0.0007135768971633372,-0.15999984741210938,0.04699993133544922,0.0021231909141845584,0.0022700911619508712
2015-02-20,0.006000631126797051,-0.9899997711181641,0.019999980926513672,-0.0015889991891343547,-0.006794956564076693
2015-02-23,-0.00014219277702665067,0.26000022888183594,-0.07399988174438477,0.0033952222262516596,-0.0051311372799426325
2015-02-24,0.002841198808349432,-0.8700008392333984,-0.07099997997283936,-0.0008459535932415774,0.0
2015-02-25,-0.0008502500296745374,0.15000057220458984,-0.01900005340576172,-0.0029632636853327288,0.030372421554415885
2015-02-26,-0.0011813597595731196,0.06999969482421875,0.04700005054473877,0.011463770741429569,0.0322580610941392
2015-02-27,-0.0034058228629536558,-0.5699996948242188,-0.01399993896484375,-0.0004197808284502891,-0.03124999678854279
2015-03-02,0.0063133430096535825,-0.3000001907348633,0.0820000171661377,0.0022047147976131942,0.0
2015-03-03,-0.004103860478329113,0.8199996948242188,0.037999868392944336,-0.0008380665390944619,0.0
2015-03-04,-0.004215708106400706,0.36999988555908203,0.0009999275207519531,0.006185824955703856,0.0
2015-03-05,0.0010938881886173313,-0.18999958038330078,-0.010999917984008789,0.004272126992808545,0.0022247450804089297
2015-03-06,-0.01406430676363657,1.1599998474121094,0.12800002098083496,0.012865797141533797,-0.01997783580501855
2015-03-09,0.004144588309866082,-0.1399993896484375,-0.04500007629394531,-0.00030737971570538036,0.022083770839079975
2015-03-10,-0.01622240791185603,1.630000114440918,-0.0690000057220459,0.010554426143486673,-0.023822626925339097
2015-03-11,-0.002341321402867913,0.18000030517578125,-0.01699995994567871,0.011965121398424206,0.003972740720213475
2015-03-12,0.012713997917674913,-1.4500007629394531,-0.013000011444091797,-0.006513041142311438,0.0
2015-03-13,-0.006132333892245434,0.5799999237060547,0.016000032424926758,0.011901162753565897,0.022611622750388083
