Date,CPER,ECH,EMB,GLD,IWM,QQQ,SPY,TLT
2015-01-02,19.020000457763672,27.853984832763672,62.54097366333008,114.08000183105467,102.54312133789062,94.5611572265625,169.68783569335938,91.93522644042967
2015-01-05,19.020000457763672,27.352174758911133,62.140533447265625,115.8000030517578,101.1722183227539,93.17404174804688,166.62338256835938,93.37940979003906
2015-01-06,18.739999771118164,27.2744255065918,61.94602966308594,117.12000274658205,99.42189025878906,91.9247589111328,165.0539093017578,95.06183624267578
2015-01-07,18.739999771118164,27.408716201782227,62.72407531738281,116.43000030517578,100.64624786376952,93.1097412109375,167.11070251464844,94.8740692138672
2015-01-08,18.68000030517578,27.59248352050781,62.99291610717773,115.94000244140624,102.35345458984376,94.891845703125,170.07603454589844,93.61769104003906
2015-01-09,18.61000061035156,27.45112419128418,62.95293045043945,117.26000213623048,101.37049102783205,94.2671890258789,168.71315002441406,94.6430435180664
2015-01-12,18.61000061035156,27.42992210388184,62.58676910400391,118.55999755859376,101.03426361083984,93.28430938720705,167.39154052734375,95.18463134765624
2015-01-13,18.61000061035156,27.21082305908203,62.78704071044922,118.16000366210938,101.1118621826172,93.25672149658205,166.92068481445312,95.18463134765624
2015-01-14,16.920000076293945,26.81502342224121,63.2618522644043,117.97000122070312,100.70661163330078,92.74232482910156,165.91299438476562,95.90666198730467
2015-01-15,17.489999771118164,26.518184661865234,63.347686767578125,120.94000244140624,99.008056640625,91.53897094726562,164.39312744140625,97.41586303710938
2015-01-16,17.829999923706055,26.610063552856445,63.39339828491211,122.5199966430664,100.62039947509766,92.61370086669922,166.5489959716797,96.17388153076172
2015-01-20,17.56999969482422,26.72314071655273,63.3819694519043,124.1999969482422,100.19791412353516,93.34859466552734,166.90419006347656,97.45191955566406
2015-01-21,17.520000457763672,27.26028633117676,63.32477188110352,124.2300033569336,99.87889099121094,93.8262710571289,167.74676513671875,96.3254623413086
2015-01-22,17.399999618530273,27.9882755279541,63.13029098510742,125.2300033569336,101.91370391845705,95.56240844726562,170.24130249023438,95.9788818359375
